Geoname ID,Name,ASCII Name,Alternate Names,Feature Class,Feature Code,Country Code,Country name EN,Country Code 2,Admin1 Code,Admin2 Code,Admin3 Code,Admin4 Code,Population,Elevation,DIgital Elevation Model,Timezone,Modification date,LABEL EN,Coordinates
455898,Salaspils,Salaspils,"Kirchholm,Kirkholm,Salaspeles,Salaspilis,Salaspils,Salaspėlės,sa la si pi er si,sallaseupilseu,Саласпилс,Саласпілс,薩拉斯皮爾斯,살라스필스",P,PPLA,LV,Latvia,,C3,0801211,,,17606,,21,Europe/Riga,2016-12-02,Latvia,"56.86014, 24.36544"
457714,Madona,Madona,"Madona,Maduona,ma duo na,madona,madwna  ltwny,Мадона,مادونا، لتونی,馬多納,마도나",P,PPLA,LV,Latvia,,20,0700201,,,9280,,149,Europe/Riga,2021-07-30,Latvia,"56.85329, 26.21698"
459031,Kandava,Kandava,"Kandau,Kandava,Кандава",P,PPLA2,LV,Latvia,,29,0901211,,,3592,,81,Europe/Riga,2021-08-16,Latvia,"57.04087, 22.77466"
459624,Iecava,Iecava,"Eckau,Iecava,Iyetsava,Иецава",P,PPL,LV,Latvia,,04,0406400,,,4000,,23,Europe/Riga,2021-08-04,Latvia,"56.59766, 24.20763"
453754,Valmiera,Valmiera,"Valmeena,Valmeera,Valmeira,Valmera,Valmiera,Valmieras,Valmijera,Valmėira,Vol'mar,Wolmar,balmiela,falmyra,valamira,valmiera,vuarumiera,wa er mi ye la,walmyra,wlmyrh,Валмиера,Валмијера,Валміера,Валмієра,ולמירה,فالميرا,والمیرا,ਵਾਲਮੀਰਾ,ვალმიერა,ヴァルミエラ,瓦爾米耶拉,발미에라",P,PPLA,LV,Latvia,,31,0250000,,,26963,45.0,43,Europe/Riga,2019-09-05,Latvia,"57.54108, 25.42751"
456272,Rauna,Rauna,"Rauna,Ronneburg,Рауна",P,PPLA2,LV,Latvia,,D1,0427776,,,0,,114,Europe/Riga,2021-08-16,Latvia,"57.33173, 25.60947"
461650,Ādaži,Adazi,"Adazhi,Adazi,Ādaži",P,PPLA,LV,Latvia,,34,0804400,,,0,,5,Europe/Riga,2020-06-10,Latvia,"57.07045, 24.33713"
454178,Viļāni,Vilani,"Veleny,Vilani,Vilany,Vileni,Viljani,Viljany,Vilyane,Vilyani,Vilyany,Vilēni,Viļāni,Weleny,Виляны",P,PPLA2,LV,Latvia,,24,0781817,,,3934,,116,Europe/Riga,2021-08-16,Latvia,"56.55253, 26.92449"
454722,Ugāle,Ugale,"Ugale,Ugāle,Угале",P,PPL,LV,Latvia,,33,0980270,,,1500,,38,Europe/Riga,2023-11-04,Latvia,"57.27464, 22.03211"
455293,Stalbe,Stalbe,"Myza Stalbe,Stalbe,Stalbes Muiza,Stalbes Muiža,Сталбе",P,PPLA2,LV,Latvia,,05,0427580,,,0,,66,Europe/Riga,2021-08-16,Latvia,"57.37065, 25.03106"
456008,Rūjiena,Rujiena,"Aujiena,Ruhja,Ruiena,Ruiyena,Rujen,Rujene,Rujiena,Rujienas,Rujina,Ruyen,Ruyena,Ruyyena,Rūjiena,Rūjienas,Руиена",P,PPLA2,LV,Latvia,,31,0961615,,,3638,,62,Europe/Riga,2021-08-16,Latvia,"57.89752, 25.33155"
456954,Ozolnieki,Ozolnieki,"Kaugari,Lici,Līči,Ozolnieki,Ozolniyeki",P,PPL,LV,Latvia,,12,0546766,,,3400,,12,Europe/Riga,2021-08-04,Latvia,"56.68986, 23.7761"
458695,Kocēni,Koceni,"Koceni,Koceny,Kocēni,Kokmuiza,Kokmuiža,Kokmuyzha,Myza Kok,Коцены",P,PPLA2,LV,Latvia,,31,0960264,,,0,,62,Europe/Riga,2021-12-21,Latvia,"57.52057, 25.33821"
458880,Ķekava,Kekava,"Kekava,Liel Kekava,Liel Ķekava,Tekava,Ķekava,Кекава",P,PPLA,LV,Latvia,,80,0800870,,,4600,,9,Europe/Riga,2016-12-02,Latvia,"56.82662, 24.23"
459102,Kalnciems,Kalnciems,"Kaigi,Kalnciems,Kalntsiyems",P,PPL,LV,Latvia,,12,0540258,,,2548,,6,Europe/Riga,2021-11-10,Latvia,"56.79908, 23.61503"
459279,Jelgava,Jelgava,"Elgava,Iyelgava,Jelgava,Jelgawa,Mitau,Mitava,Mitawa,Yelgava,Елгава,Елґава,Митава",P,PPLA,LV,Latvia,,11,0090000,,,61791,,5,Europe/Riga,2023-03-23,Latvia,"56.65, 23.71278"
456089,Garkalne,Garkalne,"Garkalne,Ropazhi,Ropazi,Ropaži",P,PPLA2,LV,Latvia,,B5,0806000,,,0,,12,Europe/Riga,2021-08-16,Latvia,"57.04486, 24.41951"
